m.09gjxn	 people person education	m.02zd2b
m.01znc_	 location partial containment relationship partially contains	m.02j9z
m.09_946	 base schemastaging athlete extra salary	m.01xvb
m.06_htj	 location location adjoin s	m.05bcl
m.01s21dg	 people person place of birth	m.0167q3
m.06c62	 base popstra location vacationers	m.01dw4q
m.0ks67	 education education institution	m.0chgrl
m.02cg2v	 olympics olympic athlete medals won	m.03794k
m.01hp2y	 film film starring	m.0n6f8
m.0520pzg	 business employment tenure person	m.027sm6
m.081k8	 influence influence node influenced	m.0cxzq
m.050ks	 location statistical region religions	m.0217hr
m.06rxhn	 olympics olympic athlete medals won	m.026y0_s
m.02znc8	 people person place lived	m.0zqq8
m.019_6d	 education educational institution students graduates	m.01jsnz0
m.010cv9	 location location containedby	m.05fjf
m.03w9x9v	 education education student	m.03ksy
m.0cr3d	 location location people born here	m.01d75g
m.04kxph	 business company relationship parent	m.04d0yfm
m.07vyf	 education educational institution students graduates	m.03pftv
m.06fn7z	 people person place of birth	m.0dlm_
m.0152cw	 people person place lived	m.0100ym
m.0fwdj3	 people person nationality	m.09c7w0
m.056_y	 people place lived location	m.0swd5
m.01p1v	 location location contains	m.0dlqv
m.03c78f	 location location containedby	m.01n7q
m.027cg_b	 people person education	m.05fs24
m.044fcq	 people person nationality	m.09c7w0
m.0b1pph	 sports pro athlete teams	m.06x6s
m.0fvxz	 location location people born here	m.092k4j
m.06mvyf	 location location containedby	m.05kkh
m.0n20h	 location location contains	m.04bfw8f
m.0g1xc3	 education education student	m.08815
m.016dp0	 people person religion	m.0n2g
m.04dfmy	 location location containedby	m.015fr
m.032_jg	 base popstra friendship participant	m.0151w_
m.0n5by	 location location adjoin s	m.0n5kc
m.037mh8	 education education major field of study	m.01k2wn
m.02v60l	 people person ethnicity	m.041rx
m.01c_zw	 base popstra celebrity dated	m.060j8b
m.088tv	 business company membership member	m.07t65
m.02_286	 location location people born here	m.04sj95
m.09c7w0	 location location contains	m.0r5lz
m.05g7q	 education honorary degree recipient	m.07szy
m.0dmj18	 people person place of birth	m.02cl1
m.0clyf9	 business employment tenure person	m.0dzst
m.02z648	 people person place of birth	m.0typ5
m.058wkf	 education education student	m.017j69
m.027gx40	 business company headquarters	m.04swd
m.0yv4d	 location location containedby	m.09c7w0
m.02vr7	 people marriage spouse	m.026ps1
m.017z88	 education educational institution students graduates	m.04f6bcy
m.0cr3d	 location location contains	m.01t_61
m.0jdd	 location country administrative divisions	m.02btbf
m.052bw	 location mailing address citytown	m.09k23
m.01k2wn	 education educational institution students graduates	m.0kp2_
m.059rby	 government government position held jurisdiction of office	m.031lwb
m.04rrx	 location mailing address state province region	m.01p60k
m.036cxg	 people person education	m.07tg4
m.038gy0	 people person nationality	m.03rjj
m.0jmm4	 base schemastaging athlete salary team	m.094hjr
m.02ppkh2	 people person place lived	m.0hjy
m.047wsq	 education education student	m.017j69
m.01vw20h	 celebrities celebrity celebrity friends	m.013w7j
m.0gl5_	 education education institution	m.0264zxd
m.09yrh	 base popstra celebrity friendship	m.06rgq
m.02_286	 location mailing address citytown	m.08h65p
m.05jb04	 sports drafted athlete drafted	m.01q0kg
m.020vk6r	 location location containedby	m.06btq
m.0136p1	 people deceased person place of burial	m.05jbn
m.030h60	 people person nationality	m.09c7w0
m.0821j	 influence influence node influenced by	m.026fd
m.05yy28	 people person education	m.01qrb2
m.03h64	 location adjoining relationship adjoins	m.0393g
m.01914	 travel travel destination how to get here	m.01qmjm
m.0gwtfv	 people person nationality	m.03rt9
m.03tq5z	 government politician government positions held	m.09c7w0
m.0byfz	 film director film	m.0ktqc
m.0jfx1	 base popstra celebrity vacations in	m.04swx
m.0rdm0	 location location containedby	m.0m2gk
m.07c5l	 location location contains	m.05r7t
m.0b7wv8	 music artist label	m.02b8t9
m.0g8dy	 government government position held office holder	m.09c7w0
m.07jznv	 base popstra celebrity dated	m.01ksr1
m.0336mc	 base popstra celebrity wears	m.03h90x
m.01hb49	 people person nationality	m.03spz
m.0498y	 people place lived location	m.0c5spr
m.014hr0	 music conducting tenure ensemble	m.01_bl7
m.02x969	 people person children	m.04svkm
m.04tqtl	 film film starring	m.0217kz
m.05zl0	 education education institution	m.03m58hp
m.0d0vqn	 location location containedby	m.02qkt
m.01q6lq	 symbols namesake named after	m.0k6d2
m.01kxnd	 location location people born here	m.03c6xf2
m.01jsk6	 education education institution	m.05x6zw
m.084w8	 influence influence node influenced	m.032dl2
m.0f2w8k	 sports sports team roster player	m.0jmjr
m.0jml5	 base schemastaging athlete salary team	m.05_wp1
m.061pc5	 people person education	m.02lwv5
m.07xyn1	 business shopping center owner shopping centers owned	m.04xp30
m.0pzqd	 sports sports league draft pick player	m.05xvj
m.0944lp	 people person religion	m.0flw86
m.015_1q	 music record label artist	m.02k2s_
m.05gt_s	 people person education	m.04ftdq
m.0dp9b4	 people person nationality	m.0345h
m.0512p	 baseball batting statistics team	m.08p49b
m.0s61l	 location hud county place place	m.0s61l
m.01x_6s	 location adjoining relationship adjoins	m.07hv9s
m.01p4vl	 education education student	m.01j_9c
m.0bq7vy	 education education student	m.012gyf
m.03bmmc	 education education institution	m.031qmr
m.09c7w0	 location location contains	m.02_qk_
m.05kj_	 location statistical region religions	m.01s5nb
m.0f8l9c	 olympics olympic participating country medals won	m.0by25y
m.08qnnv	 education education institution	m.01rcnr
m.085wn	 influence influence node influenced	m.0ckwt
m.0c6v23	 people person place of birth	m.0d99m
m.09c7w0	 location location contains	m.0snhh
m.074p0t	 business company parent	m.0ks67
m.02_g11	 business company headquarters	m.0f1sm
m.024rgt	 film production company films	m.073v9d
m.0xqg4	 location hud county place place	m.0xqg4
m.09z4fb	 sports pro athlete teams	m.05l71
m.015mtr	 aviation airline airports served	m.0p1l2
m.053b07	 people person nationality	m.09c7w0
m.05sswl	 location location containedby	m.071vr
m.02_7t	 education field of study students majoring	m.02bjhv
m.01jsk6	 education educational institution students graduates	m.028vt9
m.0j0k	 location location contains	m.06m_5
m.0dj0x	 location location contains	m.0jhnr
m.05lgp5	 baseball baseball manager former teams managed	m.01d6g
m.08x6z_	 business company headquarters	m.059rby
m.0bdxs5	 celebrities friendship friend	m.06tp4h
m.015rgm	 government politician government positions held	m.09c7w0
m.0512p	 sports sports team roster team	m.069y95
m.0280wr	 base popstra paid support company	m.0lk90
m.01lxjp7	 basketball basketball player player statistics	m.0jmmn
m.026p439	 people person employment history	m.03ksy
m.0337t1	 people person place of birth	m.02dtg
m.0x67	 people ethnicity people	m.03j3pg9
m.0fvxz	 people place lived location	m.04gnxk
m.0bwjj	 basketball basketball player stats team	m.02lm0t
m.041zmd	 people person place lived	m.04tgp
m.07ssc	 location country administrative divisions	m.05l5n
m.09c7w0	 location mailing address citytown	m.06kfk4
m.0p4wb	 base schemastaging organization extra phone number	m.0f8l9c
m.02y12s	 business company headquarters	m.09c7w0
m.0d060g	 base schemastaging phone sandbox service location	m.03bmnz
m.0jmj7	 sports professional sports team draft picks	m.06j3_9
m.064vdx	 people person religion	m.0n2g
m.03f5074	 music artist label	m.01trtc
m.0dcdp	 location adjoining relationship adjoins	m.0fmbt
m.06pj8	 base popstra celebrity friendship	m.07r1h
m.0cv0r	 location location contains	m.035l2q
m.09vzm2	 people person employment history	m.09ztf6
m.04pz5c	 people person ethnicity	m.041rx
m.04bz0c	 business brand includes brands	m.01s5t0
m.06fz_	 geography river basin countries	m.04j53
m.07c4xr	 education education student	m.01jsn5
m.01_f_5	 business employment tenure person	m.036rkh
m.020t62	 people person place lived	m.0xnt5
m.01lvcs1	 people person nationality	m.09c7w0
m.0211jt	 education educational institution students graduates	m.026mzhz
m.03cmh6k	 people person education	m.08815
m.02rmj10	 people person nationality	m.09c7w0
m.0hl0r	 people deceased person place of death	m.0430_
m.01crd5	 base aareas schema administrative area administrative children	m.02mbtq
m.02nrqjz	 tv non character role tv regular personal appearances	m.0424yv
m.03lh3v	 people person education	m.01jsn5
m.06c62	 people marriage location of ceremony	m.02wy12
m.0ds33	 film film starring	m.025t9b
m.07wrz	 education educational institution students graduates	m.046p04
m.03v1s	 location location contains	m.03d660c
m.0jmh7	 sports sports team roster	m.012sk_
m.0dy1j1	 music artist label	m.0mcf4
m.04ykg	 location mailing address citytown	m.0282z83
m.09k3lx	 people person nationality	m.09c7w0
m.05z4lq	 people person education	m.0cwx_
m.0bb00g	 people person place of birth	m.0f__1
m.05tfm	 american football player rushing statistics team	m.048v0j
m.04f_c7	 military military service military person	m.01j_x
m.02n8p2	 education education student	m.01w5m
m.0s5xd	 location hud county place place	m.0s5xd
m.0788m6	 education educational institution students graduates	m.0h7xyz
m.05fn4g	 people person place lived	m.06yxd
m.09l3p	 people person place of birth	m.0430_
m.0cykjf	 people person education	m.03ksy
m.06pwq	 education educational institution students graduates	m.067v12
m.0fplg	 location location contains	m.0cbd5k
m.04xmzd	 sports pro athlete teams	m.0jm3v
m.05c6km	 people person nationality	m.09c7w0
m.03h90x	 base schemastaging organization extra phone number	m.0chghy
m.02pzkt	 people person nationality	m.09c7w0
m.015jv7	 government politician government positions held	m.09c7w0
m.0f24mc	 sports pro athlete teams	m.0hm2b
m.07tg4	 education educational institution students graduates	m.01k8mw
m.02183k	 education education institution	m.02clgg
m.09c7w0	 location mailing address country	m.01php1
m.03kvq4	 people person place of birth	m.02_286
m.09c7w0	 location location contains	m.0r89s
m.0x67	 people ethnicity people	m.04nx90
m.0nbwf	 base biblioness bibs location country	m.09c7w0
m.01l9p	 people person ethnicity	m.012fh
m.0n5hw	 location location containedby	m.05fjf
m.046bk9	 education education student	m.02183k
m.06l22	 business company headquarters	m.06mkj
m.09gv_0	 people person nationality	m.0d060g
m.09pmq5	 people person nationality	m.02jx1
m.04894v9	 location location containedby	m.0l35f
m.0dhbhr	 education education student	m.07tgn
m.02bqy	 education educational institution students graduates	m.04n_mj
m.05sq20	 people person spouse s	m.02w4cg9
m.06nm1	 base schemastaging phone sandbox service language	m.02d4jl
m.01hb6v	 people person ethnicity	m.041rx
m.015p37	 celebrities romantic relationship celebrity	m.073wmn
m.059rby	 location location contains	m.0y844
m.05x2zl_	 people person education	m.07wrz
m.06pvr	 location location contains	m.07xb3l
m.0fvf9q	 people person place of birth	m.02_286
m.022r38	 education educational institution parent institution	m.01w5m
m.04bdpf	 people person ethnicity	m.0x67
m.03z19	 organization non profit registration registering agency	m.02fxxs
m.03ntv	 location location people born here	m.0c5f66
m.04jpl	 people place lived location	m.0266lb
m.012z8_	 influence influence node influenced	m.01vvyfh
m.0dc71	 people person nationality	m.0f8l9c
m.01smm	 location location people born here	m.03nryp5
m.07b_l	 location location contains	m.0100z9
m.01c1n5	 government government position held office holder	m.09c7w0
m.014ywh	 geography river cities	m.0494n
m.0fm9_	 location us county hud county place	m.0y6jl
m.0cc56	 people place lived location	m.02fk5
m.04n3l	 location location contains	m.0y3dv
m.02183k	 location location containedby	m.09c7w0
m.055fq_	 people person place lived	m.05kkh
m.04hhv	 location country capital	m.0ftp8
m.09c7w0	 location location people born here	m.0fvmb7
m.0z20d	 people place lived location	m.0fpl7t
m.02dtg	 location location people born here	m.02771jr
m.01g0p5	 education education institution	m.01k23t
m.01_d4	 location mailing address citytown	m.02mj7c
m.04m8n6	 business company place founded	m.01qh7
m.05tg3	 american football football historical coach position team	m.04s_26
m.01fkxr	 music artist label	m.02bh8z
m.05fjf	 location location contains	m.04w0y_
m.0345h	 government governmental jurisdiction governing officials	m.089zlv
m.0lyjf	 education educational institution students graduates	m.03c8k4q
m.0jwtj	 base popstra dated participant	m.02khkd
m.06nrt	 location location adjoin s	m.0j95
m.0h7x	 olympics olympic participating country medals won	m.01_tm8
m.0t_bm	 location location containedby	m.0k3k1
m.03ksy	 education education institution	m.0b3pl4
m.02_7t	 education field of study students majoring	m.01swxv
m.0170pk	 people person nationality	m.0chghy
m.0h7_3w	 people person place of birth	m.0281y0
m.03t83k	 people person place lived	m.0kpys
m.0202ny	 government government position held office holder	m.0488g
m.01nrnm	 education education institution	m.09rc9
m.026y4hj	 sports drafted athlete drafted	m.07szy
m.052p7	 location mailing address citytown	m.09nh5y
m.02_286	 location location people born here	m.0f2sfq
m.01j_cy	 education educational institution students graduates	m.06_fcx
m.0pzmf	 location location people born here	m.0frn6w
m.01g7_r	 education education institution	m.05hvds
m.05r4w	 base aareas schema administrative area administrative children	m.04_z1
m.01yk13	 people person place of birth	m.0y1rf
m.03cxqp5	 base contractbridge bridge player first place finish	m.0cg0bp
m.01tx9m	 education educational institution students graduates	m.0ft_0n
m.073z19	 travel tourist attraction near travel destination	m.056_y
m.039lmn	 location adjoining relationship adjoins	m.04nx7l
m.023_x	 fictional universe fictional universe locations	m.023_x
m.02rtyd7	 people person place lived	m.01nh1c
m.026zld6	 people person education	m.01ky7c
m.05737q	 education education student	m.01j_cy
m.024trk	 people person place lived	m.030qb3t
m.05fjf	 location location contains	m.01r47h
m.080_01	 people person nationality	m.09c7w0
m.05gwr	 sports sports league teams	m.0jnl5
m.02psm6q	 organization leadership organization	m.05k17c
m.05g76	 baseball batting statistics team	m.0fc12s
m.039bpc	 base popstra canoodled participant	m.0bj1kt
m.03ymrjb	 location location containedby	m.09c7w0
m.0df1sc	 people person nationality	m.09c7w0
m.04d4jb	 people person profession	m.015btn
m.01qgr3	 education education institution	m.0437ps
m.0489gpk	 location location containedby	m.09c7w0
m.027kp3	 education education institution	m.03v1nr
m.02zvg_	 tv tv program regular personal appearances	m.02mcwq
m.0cr3d	 location place with neighborhoods neighborhoods	m.02d6fj
m.02975m	 business company parent	m.05th69
m.02vnq7c	 baseball baseball player batting stats	m.01d5z
m.0vzm	 location mailing address citytown	m.0fggsn
m.06yxd	 location location contains	m.0_ln9
m.077qn	 location location contains	m.04rgjd
m.06s_2	 location adjoining relationship adjoins	m.03676
m.07xpm	 business person company	m.0548mk
m.07cm8q	 people person place lived	m.0cr3d
m.059wsgl	 architecture building occupant buildings occupied	m.01mvl6
m.065zr	 location location contains	m.027s7p8
m.0gc7yn	 education education student	m.04rwx
m.02_3xy	 people place lived location	m.02zvpc
m.02vj9	 people person employment history	m.07wrz
m.0br20k	 people marriage spouse	m.03dm5p
m.013834	 people person education	m.01ky7c
m.04ych	 people place lived location	m.01pnjr
m.09c7w0	 military military combatant military commanders	m.01ksp
m.01my4f	 education education student	m.0gl5_
m.0pfkv	 base schemastaging organization extra phone number	m.06mkj
m.0rlz	 government political appointer appointees	m.01bxb3
m.035gcb	 people person place lived	m.06wxw
m.07tg4	 education educational institution students graduates	m.067hb0
m.0h3mrc	 people person place of birth	m.01qh7
m.05k17c	 organization role leaders	m.03b8c4
m.09c7w0	 common phone number service location	m.01tfgx
m.02gkxp	 business company headquarters	m.09c7w0
m.02gr81	 education education institution	m.019jxt
m.01qh39	 people person education	m.02gr81
m.03q3x5	 people person nationality	m.09c7w0
m.04z24x	 location location containedby	m.0cr3d
m.076tjbk	 government government position held office holder	m.09c7w0
m.01k1lc	 people person nationality	m.03rjj
m.0194_r	 business person company	m.0jcx
m.0ccvx	 people place lived location	m.07d3z7
m.0jkhr	 education education institution	m.03dgnv
m.03ck2qm	 people person education	m.0g8rj
m.0100mt	 location location people born here	m.0df5jt
m.0gxj1s	 education education student	m.012gyf
m.067sqt	 people person place lived	m.01_d4
m.01n7q	 location mailing address state province region	m.04ljql3
m.018nsx	 base aareas schema administrative area administrative parent	m.047lj
m.014jyk	 education education institution	m.07s5ms
m.05trb8	 people person place lived	m.0c1d0
m.0g8rnn	 people person profession	m.02h6fbs
m.01hxs4	 base popstra shopping choice shopper	m.0k049
m.059rby	 location location contains	m.0y2wk
m.02l144	 base popstra company shopping choice	m.02jyhv
m.0g1tv1	 people person nationality	m.09c7w0
m.0d0x8	 location location contains	m.048xmtn
m.0390f8	 base schemastaging team venue relationship venue	m.0jmh7
m.0206mwr	 location location containedby	m.0n5j_
m.09c7w0	 location location contains	m.0wttm
m.047_q_	 people person nationality	m.09c7w0
m.0psxp	 people place lived location	m.01_92n
m.02xxbs	 people person nationality	m.09c7w0
m.03fdz	 base contractbridge bridge player first place finish	m.0f79hx
m.01tzh	 location location contains	m.05qx1
m.01n7q	 government government position held district represented	m.09c7w0
m.0166v	 business company member member of	m.02vk52z
m.05zl0	 education education institution	m.0cml_l
m.02l6wq	 business acquisition company acquired	m.01kdws
m.0r89d	 people place lived location	m.02f6s3
m.078sj4	 film film starring	m.0jdhp
m.02xj64	 people person education	m.05mv4
m.0cc56	 periodicals newspaper circulation area newspapers	m.02jf15
m.016b9c	 people person place of birth	m.030qb3t
m.019fh	 location location people born here	m.02plkkw
m.0dq7xr	 base schemastaging athlete extra salary	m.0x2p
m.015z4j	 base popstra celebrity friendship	m.02zdgb
m.01n4w	 location location contains	m.06gg99
m.07ssc	 location statistical region places imported from	m.0ctw_b
m.0jz06t	 film editor film	m.051rgr
m.0hr3g	 media common dedicator dedications	m.01l9qg
m.01jsk6	 education educational institution students graduates	m.0c4vq3
m.07tv1b	 sports pro athlete teams	m.0713r
m.04xn_	 location location adjoin s	m.0d05w3
m.0ks9sw	 sports pro athlete teams	m.0jnm_
m.013yq	 location location people born here	m.0168dy
m.0pfkv	 travel transport operator travel destinations served	m.04jpl
m.02y5kn	 people profession people with this profession	m.06zxj9
m.06x58	 people person nationality	m.0b90_r
m.0n839	 people person employment history	m.027bljb
m.07t58	 government governmental body members	m.01vcjw
m.0lbfv	 education education institution	m.01npjd
m.0d0x8	 location location contains	m.0ryzs
m.01jq0j	 education educational institution students graduates	m.0702j1
m.0837zp	 people person nationality	m.09c7w0
m.09k8g7	 education education student	m.0ks67
m.0285hp	 people person education	m.021s9n
m.04w58	 location location adjoin s	m.04swx
m.0309vy	 people person place of birth	m.0d8jf
m.01sj_s	 influence influence node influenced by	m.01xf8t
m.02qwgrr	 people person nationality	m.09c7w0
m.03h64	 base schemastaging phone sandbox service location	m.0cv9b
m.02bq1j	 education education institution	m.0dx4hf
m.03h64c	 people person place of birth	m.01cx_
m.03ksy	 education education institution	m.06gf4j
m.0kx4m	 business company child	m.0kk9v
m.03j3pg9	 people person ethnicity	m.0x67
m.01rng	 people place lived location	m.04491j
m.0jxjm	 location us county hud county place	m.0rsc6
m.04bkrh	 people person education	m.03v6t
m.01trtc	 business company leadership	m.0270jd
m.04ych	 location location people born here	m.043pp
m.05r4_p	 location location containedby	m.05tbn
m.0f2wj	 location location people born here	m.02q_czb
m.013l_6	 location hud county place place	m.013l_6
m.06c5l9	 location location containedby	m.0d05w3
m.014z8v	 influence influence node influenced	m.01hmk9
m.06w4rr5	 people person nationality	m.0chghy
m.07dv65	 base schemastaging athlete extra salary	m.05g49
m.01j_9c	 education educational institution students graduates	m.054nby
m.0jcgs	 location us county hud county place	m.010ftw
m.01k8rb	 base popstra friendship participant	m.01j4ls
m.04787q	 business company phone number	m.06mkj
m.08r7qd	 user szaijan fantasy football player nfl team	m.051q5
m.07g2b	 influence influence node influenced	m.0183pl
m.093jb2	 base schemastaging athlete extra salary	m.0jml5
m.01smvx	 music artist label	m.0mcf4
m.0g8fs	 education education institution	m.02wt9k
m.048pw60	 location location containedby	m.09c7w0
m.0d9jr	 location location people born here	m.021m0m
m.09c7w0	 olympics olympic athlete affiliation country	m.02qs9v4
m.01qn8k	 base popstra celebrity friendship	m.06tp4h
m.05mv4	 education educational institution students graduates	m.0g2gjz
m.027y0_6	 people person nationality	m.09c7w0
m.084l5	 sports sports team roster	m.0949_l
m.09c7w0	 location location contains	m.0484s90
m.05g49	 sports sports team roster	m.027_9_p
m.0379s	 influence influence node influenced	m.01l3vf
m.035yc3	 people person place lived	m.05mph
m.0gb7nd	 location location containedby	m.03rjj
m.05fjf	 base locations states and provences country	m.09c7w0
m.06w054	 people person place lived	m.01sn3
m.0hgqq	 media common dedicator dedications	m.05j0s4
m.05m_8	 sports sports team roster	m.01bk8x
m.0j4b	 location statistical region places imported from	m.0d05w3
m.05bwzj	 people person nationality	m.09c7w0
m.07147	 base schemastaging athlete salary team	m.0fnrlb
m.0q_h6	 location location containedby	m.01n7q
m.0157m	 base popstra religion choice member	m.019cr
m.02_1m	 business company founders	m.07hyk
m.01pxcw	 education educational institution students graduates	m.01wdxyy
m.04mttn	 government politician government positions held	m.01n7q
m.0100ym	 people place lived location	m.0ddjs8
m.012d9h	 location administrative division capital relationship capital	m.011wlf
m.0975_5	 education education student	m.01swxv
m.02h400t	 business industry companies	m.03lpk9
m.013mtx	 location location people born here	m.07rbtf
m.0krnw	 people person nationality	m.01xbgx
m.0dhlyj	 education education student	m.0qlnr
m.059vm6	 location location containedby	m.07z1m
m.0157m	 people person education	m.02bq1j
m.089rmm	 sports sports team roster player	m.01y3c
m.042dk	 government government position held appointed by	m.0dq2k
m.0gmkn	 people place lived location	m.03hh4n6
m.014lk3	 business company headquarters	m.04vmp
m.03z19	 organization non profit registration registering agency	m.01xssh
m.0233w	 influence influence node influenced	m.0h82x
m.079q85	 people person nationality	m.09c7w0
m.09c7w0	 location location contains	m.0rlpg
m.0337zp	 people person place lived	m.0fl3w4
m.04ht9v	 sports sports team roster player	m.0289q
m.0d6lp	 location us county county seat	m.0d6lp
m.0qlnr	 organization non profit organization registered with	m.03z19
m.0f2yw	 location location containedby	m.0697s
m.09c7w0	 location location contains	m.0t_9y
m.02p1k7	 business company headquarters	m.0694j
m.02wx_h	 people person nationality	m.03rjj
m.0824r	 base schemastaging phone sandbox service location	m.056zrs
m.0c5lg	 people profession people with this profession	m.01qqsk
m.019jxt	 people person place of birth	m.0ftlx
m.062drj	 people person place lived	m.094jv
m.018y2s	 people person place lived	m.0mp3l
m.0f2vk4	 people person place lived	m.0y62n
m.01pcvn	 base popstra friendship participant	m.01pcrw
m.0p_47	 influence influence node influenced	m.01gbbz
m.02c6k_	 business company phone number	m.09c7w0
m.08815	 education education institution	m.02l86_
m.0fxyd	 location us county hud county place	m.0_74q
m.05l71	 sports sports team roster team	m.03wx1m
m.019pcs	 location imports and exports exported to	m.027jk
m.0959pn	 people person education	m.026vcc
m.01ps1k	 location location containedby	m.05fjf
m.056r02	 people person place of birth	m.0y1rf
m.0bb00g	 people person religion	m.03_gx
m.01x73	 location location contains	m.048qylf
m.0c1d0	 location location contains	m.05d4w3
m.04bmvs2	 location location containedby	m.05tbn
m.0fp4xm	 people person place of birth	m.030qb3t
m.02qt4y_	 education education student	m.06pwq
m.017z88	 education education institution	m.012wg
m.018ltl	 people person education	m.06pwq
m.06_6j3	 people person place lived	m.05tbn
m.015q1n	 education educational institution students graduates	m.0fvbj_
m.0242c6	 business company headquarters	m.04vmp
m.02r4hr1	 basketball basketball player player statistics	m.0jmhr
m.03ksy	 education education institution	m.04h0k_
m.02r1n9v	 people person nationality	m.09c7w0
m.03_3d	 location location contains	m.03mxgb
m.0gdqy	 influence influence node influenced	m.0n6kf
m.027fmjs	 people person place lived	m.0cr3d
m.02z6wl	 business company board membership organization	m.04fl4r
m.067ghz	 film film release date s	m.0chghy
m.0tj9	 film actor film	m.0f11hp
m.01jjqp	 people person education	m.07tg4
m.07l4z	 sports professional sports team draft picks	m.0228nq
m.0f8l9c	 location mailing address country	m.0djkl
m.03q45x	 base saturdaynightlive snl cast member seasons	m.0pz7h
m.016tbr	 celebrities celebrity celebrity friends	m.01hxs4
m.07z1m	 location location contains	m.02rf6d
m.010v8k	 location location containedby	m.081yw
m.03_vnv	 people person place of birth	m.0f2r6
m.07t90	 education education institution	m.0hwp4
m.09c7w0	 location mailing address country	m.02zr0z
m.02qkt	 location location contains	m.0345h
m.0ksc3	 government politician government positions held	m.050l8
m.01cv_g	 people person religion	m.03_gx
m.02_286	 people place lived location	m.015h4y
m.0c9c0	 base popstra friendship participant	m.09yrh
m.021c6_	 business employer employees	m.047kxgh
m.01s0rb	 location mailing address citytown	m.03pwg7
m.02d4zp	 baseball baseball player batting stats	m.0cqt41
m.05g3b	 sports sports team roster	m.02rdf63
m.01x73	 people place lived location	m.08ks8l
m.02g1sk	 religion place of worship religion	m.0n2g
m.06pvkj	 sports drafted athlete drafted	m.0jmk7
m.016z_9	 people person education	m.07tgn
m.01pq4w	 education educational institution students graduates	m.05lx3r
m.053qmj	 people person education	m.01pl14
m.0dclg	 people place lived location	m.04rv7q
m.02frhbc	 people place lived location	m.02_y4g
m.08j2fz	 people person place lived	m.0rgv0
m.0pc7r	 location location people born here	m.014kg4
m.0345h	 location location contains	m.05l2s9
m.0161c2	 base popstra celebrity vacations in	m.0489v9k
m.0154r3	 people person profession	m.05t4q
m.058gfx	 people person nationality	m.09c7w0
m.013m43	 location location containedby	m.07b_l
m.07wrz	 education educational institution students graduates	m.04gjgkw
m.09c7w0	 location location contains	m.09wbrh
m.01tlmw	 location location containedby	m.01x73
m.0330wt	 people person nationality	m.09c7w0
m.0jm3b	 base schemastaging athlete salary team	m.0f2w7v
m.01jtml	 base schemastaging organization extra phone number	m.0852h
m.07g2b	 influence influence node influenced by	m.01v00c
m.04qzsg	 education education student	m.026vcc
m.09c7w0	 olympics olympic participating country athletes	m.073bs5
m.0947l	 people place lived location	m.09sysq
m.03ksy	 education educational institution students graduates	m.0fl0xd
m.08y2rd	 people person nationality	m.09c7w0
m.01w3v	 business employer employees	m.06lwv
m.03_jjl	 people person place of birth	m.09c7w0
m.04_4pp	 olympics olympic athlete country	m.0d0vqn
m.0pkw7	 people person religion	m.04hysg0
m.04lh6	 people marriage location of ceremony	m.01vsl3_
m.02jf15	 book newspaper circulation areas	m.0ccvx
m.027qbr9	 people person place of birth	m.0q8sw
m.03wttb3	 business board member leader of	m.02kpnw
m.03vfgs	 people person religion	m.03_gx
m.033srr	 film film release date s	m.015qh
m.01jjqp	 people person nationality	m.02jx1
m.0hm2b	 sports sports team roster	m.05_3mx
m.0jd8s	 people person place lived	m.0dclg
m.0chghy	 location mailing address country	m.02z3lcm
m.0vzm	 people place lived location	m.0ffx6h
m.05qtj	 location mailing address citytown	m.02dlk9
m.01n951	 education educational institution students graduates	m.027f8ct
m.03v0t	 location location adjoin s	m.0824r
m.01d_ys	 celebrities celebrity celebrity friends	m.02mjmr
m.0cc56	 business person company	m.02pnnht
m.08815	 education educational institution students graduates	m.0ksfw7
m.06bhxw	 people person nationality	m.09c7w0
m.016zwt	 user lapax default domain landlocked country surrounded by	m.0d05w3
m.070td6	 people person nationality	m.09c7w0
m.04b_46	 education educational institution students graduates	m.03zqc1
m.0bf6v7	 business employment tenure person	m.01fqg5
m.05k7sb	 location administrative division country	m.09c7w0
m.0qjly	 people person place lived	m.04ych
m.0ydpd	 location location containedby	m.05fkf
m.0pspl	 business person company	m.03n1q0
m.0899cy	 business company headquarters	m.09c7w0
m.03v6t	 education educational institution students graduates	m.04bkrh
m.04rwx	 education educational institution students graduates	m.0d__00
m.0rkjq	 location location containedby	m.0jj04
m.0cyn3	 location us county hud county place	m.0y24q
m.01kg39	 location location people born here	m.09ssy7
m.0l2lk	 location us county hud county place	m.0b2ds
m.017tl9	 base popstra celebrity friendship	m.0cgfb
m.012v2x	 people marriage spouse	m.027ccp0
m.09c7w0	 location location contains	m.0xrz2
m.0bx_q	 base popstra celebrity friendship	m.07r1h
m.05clth	 base schemastaging athlete extra salary	m.0713r
m.01k1h	 people person nationality	m.09c7w0
m.012gg6	 location location people born here	m.012fs4
m.025953	 education education student	m.025v3k
m.030xr_	 education education student	m.01y9pk
m.0flspx	 business company board membership member	m.04sv4
m.03ryn	 film film subject films	m.03p5s_
m.01vs_v8	 celebrities celebrity sexual relationships	m.0sz28
m.09g48l	 people person place of birth	m.04sqj
m.02pn_y8	 sports pro athlete teams	m.0jmh7
m.03lsq	 sports professional sports team draft picks	m.0cjp42
m.0d05q4	 location location contains	m.015j9n
m.02wmrd	 location location containedby	m.0d060g
m.029szg	 sports pro athlete teams	m.0hn6d
m.04lg6	 people person place lived	m.0947l
